epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5625,1.53294,2.50822,0.87843,0.68746,0.4521,0.48432,0.25126,1.53035,1.30794,0.92154,0.000414909,0.000414909,0.000414909
2,64.8583,1.39445,1.27087,0.8637,0.68231,0.61652,0.65679,0.33106,1.56808,0.96829,0.93933,0.00081511,0.00081511,0.00081511
3,93.4306,1.35857,0.95027,0.85765,0.75018,0.62126,0.68212,0.35048,1.60127,0.96839,0.95574,0.00119881,0.00119881,0.00119881
4,121.681,1.33383,0.81481,0.86131,0.84156,0.56276,0.73394,0.34301,1.82016,0.84653,1.01942,0.00117575,0.00117575,0.00117575
5,150.137,1.2918,0.74075,0.85144,0.78459,0.70197,0.77452,0.3738,1.59476,0.82938,0.95361,0.001151,0.001151,0.001151
6,177.98,1.29175,0.71208,0.85233,0.86976,0.7361,0.81495,0.40971,1.62432,0.83871,0.96062,0.00112625,0.00112625,0.00112625
7,205.701,1.24454,0.6804,0.84744,0.82576,0.72996,0.82374,0.43463,1.49488,0.76086,0.93517,0.0011015,0.0011015,0.0011015
8,233.416,1.2405,0.66057,0.84652,0.88111,0.74471,0.83421,0.4662,1.40984,0.69462,0.9223,0.00107675,0.00107675,0.00107675
9,261.423,1.23235,0.65966,0.84373,0.8976,0.73255,0.84094,0.42944,1.63041,0.74853,0.94951,0.001052,0.001052,0.001052
10,289.557,1.21615,0.64084,0.84222,0.85606,0.80546,0.84452,0.4151,1.67394,0.7235,0.98147,0.00102725,0.00102725,0.00102725
11,317.8,1.21003,0.63294,0.84315,0.83946,0.76705,0.81475,0.40449,1.59516,0.72149,0.95174,0.0010025,0.0010025,0.0010025
12,345.685,1.19816,0.61584,0.83637,0.79937,0.75773,0.81192,0.43166,1.50222,0.73206,0.93518,0.00097775,0.00097775,0.00097775
13,372.825,1.20485,0.62682,0.84531,0.75847,0.75868,0.79694,0.39972,1.59492,0.72652,0.94868,0.000953,0.000953,0.000953
14,400.07,1.17425,0.60613,0.83705,0.83546,0.75529,0.826,0.3808,1.68235,0.79525,0.96235,0.00092825,0.00092825,0.00092825
15,426.886,1.18668,0.5968,0.83769,0.868,0.79808,0.86026,0.43531,1.55153,0.69168,0.94095,0.0009035,0.0009035,0.0009035
16,454.396,1.17423,0.59225,0.83777,0.85255,0.77169,0.84431,0.47089,1.44418,0.6822,0.92909,0.00087875,0.00087875,0.00087875
